data_set_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
11,-8142.25686313,-2255.0510113696,821.3889345325,-1074.382162407,1117.5753208798,1514.2753952608,-302.7097865565,-18.7626509632,501.8578073415,-92.0148960069,66.3283150255,-12.9507626365,90.5228571616,105.317097305,-26.2135044136,-2.1470050255,15.2589979585,9.5411102273,16.2617587326,-12.0733585232,6290874,5
12,10255.7828251118,-357.0384904124,-1118.334508071,-382.4357607627,-227.6992321868,-391.564890042,359.7199430076,-135.5651840767,-207.7662374917,122.7200754574,198.0092767403,-18.6271538665,43.9480301988,110.6245501346,36.8171395288,-41.0042687398,-49.0607551227,18.7654459833,-6.7989255238,9.2722470592,5560000,5
13,3268.8403409155,-647.1097993317,1311.3056418868,-820.0445297554,-151.9171789792,658.6713633349,-58.9632478587,-208.1740742618,335.8276862597,305.6637068942,-180.8209150781,-154.871354835,-78.1409335788,79.0539845783,104.0766439493,-18.5077299332,30.9414335204,-10.4969656812,2.0059550749,5.1827302295,932848,4
14,-503.3344830132,-2329.1715336607,490.2148187055,-1277.4470846131,-63.2296829738,1295.0744230115,323.9522749225,236.3329557403,226.1717392756,85.5006848304,-208.5460064233,-156.4575560181,-54.2392003883,142.9626255517,-28.0263771269,4.6707063192,-17.9511952947,9.8926877755,-31.7755025089,6.6502119264,3090783,5
15,-1535.6142486209,-2547.7669934233,1685.3152544812,-1161.8562570497,398.710883361,765.8399778261,219.1757315191,232.5316333602,14.2994470498,289.07648089,-77.5306400849,-190.4042089299,16.7414771689,35.7267837382,33.7808150607,54.3259106295,11.9537563122,-23.0908147197,8.7491328128,6.1171029345,6187211,5
16,1728.0947073535,-4947.9118950881,966.716695461,-612.4312492373,409.3223955294,-140.9139329675,69.113762501,-15.6191138489,127.7988296754,-57.0866131367,194.7035026837,-67.255940834,108.4662094676,16.1003843443,0.7581907725,8.6725305601,10.519283703,0.0496641973,-7.9272010036,10.0021258853,2221231,5
17,3082.9635937477,-1590.4518529381,-1649.6657529343,-885.6206010557,-244.5588467233,566.3252636905,428.9681913127,648.6400475445,135.5465845778,-145.0794501429,13.8205348947,-132.4725265105,-4.6892266716,57.9958361058,53.9012243727,59.4305464286,7.3351532115,-10.9205855812,11.9547889114,6.784056484,1339444,4
18,3453.3173993113,-9646.9401660156,788.0867351605,-1719.2115527054,-891.3895056275,1350.0050428854,-52.3461494662,-818.392724957,-85.6552389652,-133.6862795303,11.1088324721,45.1143780892,43.3851403558,84.2052354823,67.0613922225,-33.4989355181,36.8753299277,14.5958296523,-8.0606247755,10.560220116,2014549,5
19,5770.1106129921,-5139.6943768731,2164.1363043987,330.7421581914,1525.2833955471,-36.1023240179,120.7960982214,-245.4005478374,302.8362870321,-248.8574636505,108.4593678868,-117.4143383161,149.5764582172,25.1383991592,32.6814564736,14.4342883117,-10.1899717486,3.2169806941,-30.9390467225,-2.2634321531,9268187,5
20,175.4041228976,1154.0794182132,117.9842257267,-217.5623044798,571.7301754276,256.5648974088,433.2718949608,-329.3419132815,-31.3268219225,172.8511911451,42.7747949339,-243.1592419417,163.1005709611,-67.3244836115,2.3489402073,93.503895217,24.0777524413,8.921309956,7.6711805036,-8.9803886232,1233822513,5
21,3817.6457629222,-1156.8749459984,-3406.6654857676,547.2860762645,1295.9312170087,282.5545305164,631.6606961024,481.6576297258,-477.4997166269,-355.7812475528,-324.2025952137,173.7171284417,-3.9853965183,-42.7025477585,4.5444491035,-188.1147424858,-107.0760774707,-19.8716996988,-19.756151617,8.8144412464,15926,1
22,-7070.9272993206,1590.9052459343,43.3123562241,-99.5752387918,1023.6387433774,-327.6555686043,560.5860340651,237.1416276276,198.1316868152,99.5474527878,-43.570417898,-12.7825315262,-4.8089944028,-9.3836484101,-87.1798502302,33.9785401578,6.3910932258,13.919772763,-36.6424718113,-5.5315399283,19462,1
23,-2689.1036729302,-2376.7550264053,-3622.0392231919,-1040.9285125065,-336.7953669705,1009.7404828101,555.2669733403,-392.199148413,-66.4595919572,-321.7301440352,-235.0758024196,-14.7469504701,-86.5595309785,-59.1411411306,8.5212523214,-57.4432290363,20.9734601071,-6.6379520834,14.4702503348,-6.5375453511,39627,2
24,1128.7817087436,714.1184716095,-2324.1856057897,-392.4891495115,68.377003394,-86.0170561621,361.9294154184,-910.9679899554,-207.0063058673,-147.5256499593,-46.9796628133,76.2950751876,41.5524247666,239.2774757592,-61.5586974783,47.200872276,1.6320394172,10.9910390689,33.1482277639,-4.3226139303,96507,3
25,-3542.4477393904,-2029.1120639016,-135.8273089262,-390.1604860993,941.7761234574,370.3854788354,627.1467322606,303.5827278805,-366.75699189,-91.9595009805,-337.2026829782,-101.5051808444,-44.4084609015,57.6080023618,49.9099610712,-26.7002199866,-12.3845516472,-16.2874977074,-19.8760312067,6.8824875917,87030,3
26,59.7908944939,-7083.585652156,-2781.7857546528,-473.8226852835,-714.457613735,-721.4401525325,580.2230869044,-447.3808122268,-536.1126175228,-490.4345469923,81.2273276396,110.7624724931,-44.9720791684,19.0249282024,-24.7416870908,-20.1798123638,7.4150123415,-29.4090039849,51.4261660356,1.6705659574,14169,1
27,957.1700965193,-2806.3331255918,-3048.044258474,-556.8202718348,-103.9357929307,308.8118685154,513.2804230659,-181.6396132497,-552.9170441949,-320.7218420153,-174.0662661886,52.996415805,-110.5538979969,-29.8850774296,7.8349352631,-16.7336215435,18.0145238694,-30.6633212593,0.001640095,8.8270850822,14838,1
28,-793.9243824882,2700.4377019958,-3299.428501722,-219.6227160907,242.5038089377,-66.6111514656,170.2306869706,-390.9654956866,-10.450775827,190.7960777801,11.7593799215,55.4208685263,62.1992915019,-72.2398229178,31.0055244684,-26.1015260893,25.0812845021,0.2613340636,-36.670935088,6.7147182481,17840,1
29,-3068.9504214161,-61.7122016246,-2070.6938637643,-823.340173399,-519.3220736973,-301.7695443615,543.9030640545,-811.1931752657,20.96771365,244.9301445462,127.5179176918,-63.5990715103,107.4941929204,37.7880299822,-96.7594063553,24.7277942526,73.9252147375,-34.6550344641,-2.7006299774,2.4940239968,26097,2
30,-1157.6797088821,3899.249038865,-4080.6823500057,100.8642251433,393.7438739453,278.2620829145,369.3877887138,-381.301320232,115.4812126285,121.9592029803,22.7580713726,142.3894343956,116.9793211243,-100.3243409303,-0.109377671,54.0446980494,1.1001933773,20.3459059693,13.7666615951,-17.4397410736,47298,2
31,-11751.5386412514,-743.0800278771,-648.8530354857,-660.3665904633,776.1453963021,-82.6232767751,-162.519594918,-380.5003528153,319.9753836639,-273.6511644878,-17.191049703,-135.6529152097,-92.2567732775,-197.3123100551,-109.5267960434,-12.680568891,16.1043938799,17.4227482999,43.3913365827,6.1408565124,36728,2
32,-2406.1405494634,-1938.5445316354,-1758.1034373934,-626.7407353115,-852.2883215527,345.6189445287,301.2669103184,-386.8505013597,-360.1234215761,-354.9399702652,-210.8153717255,30.9186382126,-58.0116350953,-3.4820277444,38.2463960052,76.1767720328,29.5927892757,-15.463110047,-24.3825532418,14.721727826,22418,2
33,-5442.6906148177,-3666.2400951612,1991.8732466869,-812.4882553443,1067.9161274606,1544.142070737,838.1973261266,-527.6941153965,-75.8053333555,180.7595187311,-484.0423119055,-53.0792585458,-45.0359758725,-48.2298742721,-38.5861690068,36.1660227826,19.8119070977,53.9196486768,-26.276102772,-15.5785533661,4975,1
