data_set_id,Spectral Centroid Overall Standard Deviation,Spectral Rolloff Point Overall Standard Deviation,Spectral Flux Overall Standard Deviation,Compactness Overall Standard Deviation,Spectral Variability Overall Standard Deviation,Root Mean Square Overall Standard Deviation,Fraction Of Low Energy Windows Overall Standard Deviation,Zero Crossings Overall Standard Deviation,Strongest Beat Overall Standard Deviation,Beat Sum Overall Standard Deviation,Strength Of Strongest Beat Overall Standard Deviation,Spectral Centroid Overall Average,Spectral Rolloff Point Overall Average,Spectral Flux Overall Average,Compactness Overall Average,Spectral Variability Overall Average,Root Mean Square Overall Average,Fraction Of Low Energy Windows Overall Average,Zero Crossings Overall Average,Strongest Beat Overall Average,Beat Sum Overall Average,Strength Of Strongest Beat Overall Average
kd5KqlmcHNo,23.02,0.1627,0.0002213,132.8,0.0003883,0.014,0,28.47,0,0,0,51.41,0.3352,0.0001004,1523,0.0002819,0.0117,0,127.9,0,0,0
HoCwa6gnmM0,5.851,0.08306,0.003354,219.6,0.003223,0.122,0,11.63,0,0,0,17.09,0.0844,0.003118,1655,0.009557,0.3634,0,37.38,0,0,0
